PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
Graeme McDowell,17,"$470,804",
Denny McCarthy,20,"$452,571",
David Hearn,17,"$434,929",
Tom Lovelady,24,"$431,086",
J.J. Henry,24,"$427,802",
Jonathan Randolph,21,"$419,145",
Adam Schenk,24,"$419,034",
Martin Flores,25,"$415,030",
Thomas Pieters,9,"$411,372",
Chris Stroud,23,"$409,676",
Chad Campbell,24,"$408,720",
Shawn Stefani,22,"$404,241",
Michael Thompson,15,"$386,972",
Fabián Gómez,24,"$382,782",
Xinjun Zhang,24,"$379,283",
Dominic Bozzelli,18,"$378,676",
Hudson Swafford,19,"$360,771",
Stephan Jaeger,22,"$359,768",
Jim Furyk,12,"$358,148",
Shane Lowry,14,"$336,630",
Peter Malnati,24,"$329,997",
Jonas Blixt,19,"$327,338",
Mackenzie Hughes,24,"$324,981",
Hunter Mahan,17,"$315,614",
Robert Streb,25,"$313,092",
Cody Gribble,22,"$302,593",
Blayne Barber,19,"$301,837",
Lanto Griffin,22,"$298,252",
Nate Lashley,17,"$296,650",
Ethan Tracy,19,"$291,756",
Greg Chalmers,20,"$288,023",
Matt Every,26,"$285,708",
Graham DeLaet,3,"$251,630",
Rob Oppenheim,22,"$249,479",
Ross Fisher,10,"$247,229",
Zac Blair,16,"$240,511",
Cameron Percy,12,"$232,042",
Camilo Villegas,14,"$229,439",
Daniel Summerhays,15,"$226,367",
Roberto Díaz,21,"$221,745",
K.J. Choi,14,"$219,405",
Ricky Barnes,18,"$217,878",
Tim Herron,10,"$209,216",
Steve Wheatcroft,16,"$206,504",
Smylie Kaufman,22,"$201,136",
Brett Stegmaier,18,"$183,327",
Jonathan Byrd,20,"$180,225",
Cameron Tringale,22,"$179,459",
Morgan Hoffmann,9,"$170,673",
Andres Romero,3,"$168,780",
Sangmoon Bae,15,"$167,542",
Rod Pampling,17,"$164,636",
Parker McLachlin,7,"$158,035",
Stuart Appleby,9,"$154,121",
Jerry Kelly,3,"$108,500",
Conrad Shindler,16,"$105,549",
Brendon de Jonge,10,"$103,612",
Ernie Els,13,"$102,868",
D.A. Points,22,"$99,265",
Billy Hurley III,23,"$94,971",
Geoff Ogilvy,17,"$93,947",
George McNeill,7,"$91,100",
Zecheng Dou,19,"$90,993",
Davis Love III,9,"$87,042",
Padraig Harrington,12,"$84,896",
Martin Kaymer,9,"$82,098",
Luke Donald,9,"$81,989",
Matt Atkins,17,"$78,226",
Brandon Hagy,3,"$76,817",
Steve Marino,6,"$76,616",
Vijay Singh,9,"$76,534",
Ken Duke,11,"$69,241",
Eric Axley,7,"$69,125",
John Senden,6,"$68,604",
John Merrick,8,"$68,407",
Brian Davis,9,"$47,082",
Jim Herman,9,"$46,962",
Fred Couples,1,"$46,200",
Bernhard Langer,1,"$46,200",
Seung-Yul Noh,1,"$44,516",
Colt Knost,10,"$43,134",
Andrew Yun,18,"$41,566",
Tommy Gainey,7,"$39,508",
Troy Matteson,7,"$39,000",
Jason Bohn,6,"$36,830",
Mark Wilson,9,"$33,348",
Andrew Johnston,2,"$24,448",
Ángel Cabrera,5,"$20,353",
Derek Ernst,3,"$20,353",
Robert Allenby,6,"$19,970",
John Daly,6,"$18,362",
Paul Goydos,1,"$18,067",
D.J. Trahan,6,"$16,920",
Bob Estes,8,"$15,431",
Omar Uresti,7,"$14,274",
Rick Lamb,10,"$14,136",
Kyle Thompson,18,"$14,000",
Dicky Pride,8,"$13,856",
Charlie Beljan,7,"$13,524",
Chris Couch,4,"$13,000",
Arjun Atwal,3,"$12,006",
Kris Blanks,4,"$11,484",
Daniel Chopra,4,"$8,784",
John Rollins,7,"$8,213",
Mike Weir,4,"$5,760",
Cameron Beckman,4,"$5,520",
Trevor Immelman,2,"$5,520",
