PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Wes Roach,28,-0.226,-4.0760000000000005,-3.469,-0.607,18
Cameron Tringale,28,-0.22899999999999998,-4.127,-4.753,0.626,18
Daniel Berger,18,-0.235,-2.5869999999999997,-1.725,-0.862,11
Joel Dahmen,40,-0.282,-7.335,2.8510000000000004,-10.185,26
Richy Werenski,37,-0.292,-7.893,-7.768,-0.125,27
Josh Teater,27,-0.294,-4.404,4.496,-8.899,15
Chris Stroud,28,-0.295,-6.49,-15.635,9.142999999999999,22
Stephan Jaeger,37,-0.301,-8.116,-9.051,0.934,27
Louis Oosthuizen,16,-0.308,-2.463,-1.534,-0.929,8
Peter Uihlein,33,-0.33399999999999996,-5.672000000000001,-14.77,9.097000000000001,17
David Hearn,25,-0.34600000000000003,-5.534,-6.25,0.716,16
Charl Schwartzel,20,-0.353,-3.181,-6.726,3.545,9
Bill Haas,33,-0.364,-9.093,-2.616,-6.477,25
Rory Sabbatini,31,-0.37799999999999995,-8.326,-8.021,-0.304,22
James Hahn,34,-0.38,-6.4670000000000005,2.148,-8.615,17
Jim Knous,31,-0.401,-8.414,-1.7369999999999999,-6.676,21
Robert Streb,38,-0.42200000000000004,-11.825,-3.2260000000000004,-8.597999999999999,28
Sam Burns,35,-0.42700000000000005,-12.387,-20.958000000000002,8.571,29
Hunter Mahan,36,-0.445,-12.454,-15.780999999999999,3.326,28
Doug Ghim,13,-0.48200000000000004,-4.816,4.368,-9.185,10
Brandon Harkins,37,-0.536,-14.475,-7.162000000000001,-7.311,27
Jordan Spieth,24,-0.5479999999999999,-10.41,-10.131,-0.27899999999999997,19
Sangmoon Bae,26,-0.556,-8.891,-6.53,-2.36,16
Martin Trainer,32,-0.5820000000000001,-12.22,-7.76,-4.458,21
Kramer Hickok,37,-0.593,-13.633,4.155,-17.785999999999998,23
C.T. Pan,38,-0.603,-10.847999999999999,-8.493,-2.355,18
Brady Schnell,24,-0.604,-9.671,-11.079,1.4080000000000001,16
Bronson Burgoon,27,-0.612,-11.619000000000002,-0.23800000000000002,-11.38,19
Jimmy Walker,31,-0.627,-12.539000000000001,-3.1660000000000004,-9.373,20
Andrew Landry,30,-0.647,-16.17,-9.068,-7.1,25
Whee Kim,41,-0.67,-12.722999999999999,-17.968,5.245,19
Kelly Kraft,31,-0.701,-13.317,-8.391,-4.9239999999999995,19
Brendan Steele,30,-0.716,-13.600999999999999,-2.374,-11.225999999999999,19
Brice Garnett,37,-0.728,-15.285,-5.608,-9.676,21
John Huh,33,-0.733,-18.336,-14.933,-3.4019999999999997,25
Brian Harman,35,-0.746,-14.182,-8.908,-5.273,19
Alex Cejka,25,-0.773,-13.136,-8.149,-4.987,17
Brandon Hagy,17,-0.774,-10.838,-9.87,-0.9670000000000001,14
Chris Thompson,24,-0.79,-11.065,-8.752,-2.313,14
John Senden,23,-0.802,-11.234000000000002,-6.428,-4.8069999999999995,14
Kyle Jones,33,-0.8109999999999999,-18.658,-14.841,-3.815,23
Anirban Lahiri,29,-0.8109999999999999,-15.414000000000001,-16.451,1.037,19
Roberto Díaz,25,-0.8220000000000001,-12.333,-13.036,0.7040000000000001,15
Jamie Lovemark,22,-0.848,-5.936,-5.939,0.003,7
Freddie Jacobson,23,-0.8759999999999999,-14.015999999999998,-14.58,0.564,16
Ben Crane,24,-0.903,-12.647,-17.482,4.835,14
Jim Herman,21,-0.9359999999999999,-14.038,-6.8629999999999995,-7.1739999999999995,15
Shawn Stefani,31,-0.998,-20.949,-15.704,-5.244,21
Ollie Schniederjans,38,-1.013,-24.301,-23.572,-0.728,24
Chad Collins,18,-1.022,-9.202,-12.12,2.918,9
"Ted Potter, Jr.",33,-1.04,-22.871,-11.833,-11.037,22
Sean O'Hair,23,-1.045,-17.762,-15.552999999999999,-2.208,17
Austin Cook,24,-1.081,-14.048,-9.967,-4.081,13
Robert Garrigus,20,-1.093,-14.213,-9.767000000000001,-4.446000000000001,13
J.J. Henry,22,-1.133,-14.73,-4.15,-10.578,13
Mackenzie Hughes,26,-1.171,-23.427,-12.690999999999999,-10.735,20
Martin Piller,20,-1.185,-13.035,-23.414,10.379000000000001,11
Grayson Murray,28,-1.2690000000000001,-27.908,-17.75,-10.158,22
Jason Dufner,31,-1.274,-20.387,-8.676,-11.709000000000001,16
D.A. Points,26,-1.335,-18.689,-16.169,-2.519,14
Tyrone Van Aswegen,16,-1.38,-12.421,-6.357,-6.064,9
Seth Reeves,34,-1.3840000000000001,-33.208,-23.07,-10.136000000000001,24
Curtis Luck,28,-1.3940000000000001,-23.703000000000003,-22.151999999999997,-1.55,17
Derek Fathauer,16,-1.4880000000000002,-10.419,-13.151,2.7319999999999998,7
Ricky Barnes,13,-1.507,-12.055,-7.077999999999999,-4.977,8
Kyle Stanley,30,-1.5130000000000001,-25.725,-11.440999999999999,-14.283,17
Michael Kim,33,-1.585,-33.275,-36.078,2.803,21
Satoshi Kodaira,32,-1.68,-38.632,-26.451999999999998,-12.177999999999999,23
Alex Noren,20,-1.683,-18.515,-7.329,-11.186,11
Tyler Duncan,41,-1.7690000000000001,-47.753,-16.189,-31.563000000000002,27
Cody Gribble,30,-1.8840000000000001,-41.457,-26.315,-15.140999999999998,22
Seamus Power,27,-2.055,-43.163999999999994,-38.263000000000005,-4.899,21
John Chin,28,-2.1319999999999997,-34.104,-31.351999999999997,-2.752,16
Shubhankar Sharma,16,-2.142,-8.568,-6.348,-2.22,4
Chad Campbell,13,-2.21,-13.257,-2.803,-10.453,6
Joey Garber,24,-2.456,-34.379,-26.201999999999998,-8.176,14
Rod Pampling,22,-2.655,-29.206999999999997,-19.847,-9.36,11
Sanghyun Park,15,-4.56,-13.681,-11.052999999999999,-2.627,3
