,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENTS,TOTAL RNDS,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Patrick Rodgers,39.0,70.941,2743.0,23.707,39.0,12.0,15.0,12.0,6.73,"$1,004,941","$14,922,000",39.0,0.888,29.3,12.427999999999999,16.872,33.0
Ryan Armour,40.0,70.95100000000001,2796.0,42.028,40.0,12.0,18.0,12.0,3.05,"$465,302","$15,264,000",40.0,0.084,1.922,-4.794,6.716,23.0
Brian Gay,45.0,70.976,3148.0,45.912,45.0,12.0,21.0,12.0,3.28,"$515,359","$15,732,000",45.0,0.456,12.78,-19.316,32.096,28.0
Russell Henley,32.0,70.98100000000001,2247.0,24.407,32.0,10.0,15.0,10.0,2.1,"$257,527","$12,276,000",32.0,0.084,1.933,9.217,-7.2829999999999995,23.0
Graeme McDowell,29.0,70.98100000000001,2038.0,20.438,29.0,8.0,11.0,8.0,3.34,"$340,662","$10,188,000",29.0,0.324,5.1770000000000005,-4.265,9.442,16.0
Julián Etulain,34.0,71.005,2393.0,21.162,34.0,10.0,11.0,10.0,2.23,"$246,179","$11,052,000",34.0,0.37,8.886000000000001,-8.777000000000001,17.663,24.0
Nick Watney,37.0,71.042,2585.0,43.545,37.0,10.0,17.0,10.0,2.2,"$280,069","$12,744,000",37.0,0.001,0.026000000000000002,1.932,-1.906,23.0
Cameron Davis,38.0,71.047,2672.0,27.767,38.0,11.0,15.0,11.0,2.21,"$275,050","$12,456,000",38.0,0.11,2.7430000000000003,2.594,0.149,25.0
Martin Kaymer,14.0,71.057,1000.0,- 5.204,14.0,4.0,3.0,4.0,1.41,"$77,126","$5,472,000",14.0,-0.057,-0.8,-0.475,-0.324,14.0
Corey Conners,28.0,71.06,1961.0,28.668,28.0,10.0,13.0,10.0,7.31,"$833,813","$11,412,000",28.0,0.741,14.07,22.78,-8.71,19.0
Jonas Blixt,36.0,71.067,2539.0,19.408,36.0,11.0,14.0,11.0,2.05,"$272,699","$13,284,000",36.0,0.057999999999999996,1.6280000000000001,-4.496,6.124,28.0
Louis Oosthuizen,16.0,71.067,1123.0,14.074,16.0,5.0,7.0,5.0,5.04,"$387,373","$7,685,000",16.0,-0.308,-2.463,-1.534,-0.929,8.0
Ernie Els,30.0,71.07300000000001,2108.0,24.196,30.0,8.0,10.0,8.0,2.11,"$231,587","$10,980,000",30.0,0.36700000000000005,5.511,0.053,5.457999999999999,15.0
Billy Horschel,40.0,71.084,2818.0,25.373,40.0,10.0,14.0,10.0,5.52,"$795,931","$14,429,000",40.0,0.32799999999999996,7.555,-7.499,15.052999999999999,23.0
Hudson Swafford,39.0,71.093,2733.0,39.638,39.0,11.0,16.0,11.0,3.81,"$508,735","$13,338,000",39.0,0.157,4.867,-1.337,6.204,31.0
Dylan Frittelli,27.0,71.11,1899.0,20.965,27.0,8.0,8.0,8.0,1.72,"$161,360","$9,360,000",27.0,0.456,10.035,12.043,-2.006,22.0
Joel Dahmen,40.0,71.134,2802.0,43.357,40.0,12.0,18.0,12.0,2.77,"$436,060","$15,732,000",40.0,-0.282,-7.335,2.8510000000000004,-10.185,26.0
Hank Lebioda,29.0,71.149,2040.0,23.317,29.0,9.0,12.0,9.0,1.5,"$145,616","$9,720,000",29.0,0.057999999999999996,1.214,12.955,-11.74,21.0
Carlos Ortiz,38.0,71.154,2676.0,27.867,38.0,12.0,16.0,12.0,3.96,"$578,152","$14,616,000",38.0,0.298,9.522,3.58,5.942,32.0
Richy Werenski,37.0,71.157,2597.0,35.803,37.0,11.0,16.0,11.0,4.76,"$642,452","$13,500,000",37.0,-0.292,-7.893,-7.768,-0.125,27.0
Troy Merritt,22.0,71.16,1529.0,36.511,22.0,6.0,11.0,6.0,5.98,"$435,233","$7,276,000",22.0,0.591,10.05,4.496,5.555,17.0
Roger Sloan,39.0,71.163,2748.0,27.352,39.0,12.0,15.0,12.0,3.51,"$487,917","$13,914,000",39.0,0.138,3.733,1.112,2.62,27.0
Max Homa,33.0,71.172,2330.0,18.660,33.0,11.0,13.0,11.0,2.63,"$343,318","$13,068,000",33.0,0.135,3.5039999999999996,-1.505,5.01,26.0
Kevin Tway,32.0,71.186,2242.0,35.945,32.0,10.0,12.0,10.0,11.34,"$1,468,218","$12,946,000",32.0,0.621,14.272,15.744000000000002,-1.47,23.0
Patton Kizzire,35.0,71.195,2459.0,32.821,35.0,10.0,14.0,10.0,4.67,"$635,360","$13,619,000",35.0,0.602,12.043,-5.495,17.539,20.0
Aaron Wise,27.0,71.20100000000001,1891.0,31.418,27.0,8.0,10.0,8.0,4.35,"$474,765","$10,911,000",27.0,0.053,1.06,1.985,-0.925,20.0
Davis Love III,23.0,71.229,1609.0,29.257,23.0,6.0,9.0,6.0,3.6,"$271,216","$7,524,000",23.0,-0.032,-0.508,3.411,-3.918,16.0
Chase Wright,36.0,71.232,2535.0,29.356,36.0,12.0,12.0,12.0,2.73,"$391,715","$14,346,000",36.0,0.043,1.1059999999999999,-9.515,10.620999999999999,26.0
