New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
143,144,0,600,Andrew Filbert,1,available,155,-,+15,1,2,84,--,--,--,84
11,12,5.4132,12,Paul Casey,5,available,T17,-,E,0,9,70,--,--,--,70
26,27,3.4586,27,Adam Scott,4,available,T35,6,+1,0,1:05 PM,71,--,--,--,71
33,34,3.0759,34,Keegan Bradley,3,available,T17,-,E,0,7,70,--,--,--,70
18,19,4.1586,19,Patrick Reed,4,available,T83,8,+4,0,1:16 PM,74,--,--,--,74
39,40,2.7594,40,Henrik Stenson,3,available,T83,8,+4,0,12:43 PM,74,--,--,--,74
92,93,1.4915,94,Lucas Herbert,1,available,T83,8,+4,0,2:22 PM,74,--,--,--,74
112,113,1.2269,117,Adam Long,1,available,T71,3,+3,0,2:22 PM,73,--,--,--,73
56,57,2.2345,57,Byeong-Hun An,3,available,T83,8,+4,0,12:32 PM,74,--,--,--,74
17,18,4.4796,18,Bubba Watson,4,available,T117,6,+6,0,1:27 PM,76,--,--,--,76
7,8,6.9238,8,Bryson DeChambeau,6,available,T124,73,+7,5,6,72,--,--,--,72
59,60,2.1085,60,Sung-jae Im,2,available,T35,6,+1,0,2:22 PM,71,--,--,--,71
110,111,1.2504,115,David Lipsky,1,available,T17,-,E,0,12:43 PM,70,--,--,--,70
140,141,0,600,Ben Cook,1,available,T83,8,+4,0,12:10 PM,74,--,--,--,74
