New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
137,138,0,600,Alexander Bjork,1,available,-,E,0,12:21 PM,--,--,--,--,--
9,10,5.8147,10,Rickie Fowler,5,available,T12,E,0,10,--,--,--,--,--
123,124,0.9229,182,Troy Merritt,1,available,T12,E,0,9,--,--,--,--,--
151,152,0,600,Rod Perry,1,available,-,E,0,12:21 PM,--,--,--,--,--
108,109,1.2813,112,Beau Hossler,1,available,T53,+3,+3,15,--,--,--,--,--
3,3,8.7032,3,Brooks Koepka,7,available,T1,-3,-3,9,--,--,--,--,--
105,106,1.318,108,Sam Burns,1,available,T5,-2,-2,14,--,--,--,--,--
58,59,2.1478,59,Jorge Campillo,2,available,-,E,0,2:11 PM,--,--,--,--,--
94,95,1.4381,96,Patton Kizzire,1,available,T8,-1,-1,14,--,--,--,--,--
8,9,6.2244,9,Xander Schauffele,5,available,T42,+2,+2,10,--,--,--,--,--
69,70,1.8699,70,Jazz Janewattananond,2,available,-,E,0,2:11 PM,--,--,--,--,--
143,144,0,600,Andrew Filbert,1,available,-,E,0,2:22 PM,--,--,--,--,--
11,12,5.4132,12,Paul Casey,5,available,-,E,0,12:32 PM,--,--,--,--,--
26,27,3.4586,27,Adam Scott,4,available,T12,E,0,12,--,--,--,--,--
33,34,3.0759,34,Keegan Bradley,3,available,-,E,0,1:05 PM,--,--,--,--,--
18,19,4.1586,19,Patrick Reed,4,available,T29,+1,+1,11,--,--,--,--,--
39,40,2.7594,40,Henrik Stenson,3,available,T53,+3,+3,13,--,--,--,--,--
92,93,1.4915,94,Lucas Herbert,1,available,T12,E,0,7,--,--,--,--,--
112,113,1.2269,117,Adam Long,1,available,T42,+2,+2,6,--,--,--,--,--
56,57,2.2345,57,Byeong-Hun An,3,available,T53,+3,+3,14,--,--,--,--,--
17,18,4.4796,18,Bubba Watson,4,available,T53,+3,+3,10,--,--,--,--,--
7,8,6.9238,8,Bryson DeChambeau,6,available,-,E,0,1:27 PM,--,--,--,--,--
59,60,2.1085,60,Sung-jae Im,2,available,T12,E,0,7,--,--,--,--,--
110,111,1.2504,115,David Lipsky,1,available,T8,-1,-1,13,--,--,--,--,--
140,141,0,600,Ben Cook,1,available,T42,+2,+2,15,--,--,--,--,--
